file_name,title,description,topics,keywords,contentType,contentSubType
0d78c7b1-6bf3-4e55-9788-cd26faea00f1.json,AFIT WKS 0665 - Current Topics In Cyber For Air Force Weapon Systems,"The purpose of this workshop is to provide current education and consultation in cyber-related topics for Air Force weapon systems such as systems security engineering, program protection, risk assessments, requirements, system analysis, and logistics. NOTE: Professionals actively proceeding through this AWARE Learning Path should be cognizant that some courses are only conducted at certain times (AFLCMC Focus Week). This workshop is administered during AFLCMC Focus Week and can be registered for prior to Focus Week by going through ACQnow. You can register by going to ACQNow, My Career, Search for CL Events, Search Catalogs, filter by AFLCMC Focus Week, and then search for WKSP 0665. If a professional must wait for a certain course to begin, that doesn’t mean they cannot or should not continue along the path with other courses while they wait. There are plenty of courses along the path that can be taken at any time without prerequisites. Professionals never need to remain idle while they wait for a certain course. If there are questions on the AWARE path reach out to CROWS Ed&T: AFLCMC.CROWS.EDU@us.af.mil","['Cyber Education Hub->Defense And Security Concepts', 'Cyber Education Hub->Actors And Agendas', 'Cyber Education Hub->Technology Stacks And Vulnerabilities', 'Cyber Education Hub->Technology Stacks And Vulnerabilities->Cloud Computing', 'Cyber Education Hub->Leadership Perspectives', 'Cyber Education Hub->Policy And Strategy->Policy', 'Cyber Education Hub->Attack And Exploit Concepts->Exploit Tools And Techniques', 'Acquisition Hub->Program Management', 'Acquisition Hub->Program Management->Business Architecture', 'Acquisition Hub->Program Management->Technical', 'Acquisition Hub->Engineering', 'Acquisition Hub->Engineering->Agreement Processes', 'Acquisition Hub->Engineering->Organizational Project Enabling Processes', 'Acquisition Hub->Engineering->Technical Processes', 'Acquisition Hub->Engineering->Technical Management Processes']","['air force weapon systems', 'afit', 'cyber-related topics', 'logistics', 'program protection', 'requirements', 'risk assessments', 'system analysis', 'systems security engineering', 'wks 0665']",Web Resource,Web Page
1ae5eb1c-8ee0-4949-b679-15d3ebea1e0f.json,Protocols - Intro to Computer Science,"This video is part of an online course, Intro to Computer Science. Check out the course here: https://www.udacity.com/course/cs101.",['Cyber Education Hub->Technology Stacks And Vulnerabilities'],[],Web Resource,YouTube
1b704cf7-067d-4d5f-a766-3d2f2a5aab3d.json,What Is Cryptocurrency Mining? Webopedia Definition,"Cryptocurrency mining, or cryptomining, verifies transactions for various forms of cryptocurrency and adds them to the blockchain digital ledger.",['Cyber Education Hub->Technology Stacks And Vulnerabilities->Cloud Computing'],"['bitcoin', 'cryptocurrency mining', 'webopedia', 'blockchain', 'cryptocurrency mining definition', 'cryptomining definition', 'define', 'dictionary', 'glossary']",Web Resource,Web Page
1c213e62-9570-400f-ad6e-5942c30444f9.json,"CE Capabilities, Part 2","CE Capabilities, Part 2",['Civil Engineering Hub->Leadership Development'],[],File,Video
0f88c292-7333-4c7d-ac4d-da23878c847c.json,Explained! Rainbow Tables,Explanation of Rainbow Tables,['Cyber Education Hub->Attack And Exploit Concepts'],"['cracking', 'passwords', 'rainbow table']",Web Resource,YouTube
1a96ae9c-cfe7-4202-85f9-2c091a2f966d.json,The psychological effects of cyber terrorism,"When ordinary citizens think of cyber threats, most are probably worried about their passwords and banking details, not a terrorist attack. The thought of a shooting in a mall or a bombing at an airport is probably more frightening than a cyber breach. Yet terrorists aim for mental as well as physical destruction, and our research has found that, depending on who the attackers and the victims are, the psychological effects of cyber threats can rival those of traditional terrorism.",['Cyber Education Hub->Law And Doctrine->Law'],"['cyber security', 'cyber terrorism']",Web Resource,Web Page
1caef45d-d976-491f-814b-c01af8d35d55.json,How the C++ Compiler Works, ,['Cyber Education Hub->Technology Stacks And Vulnerabilities'],[],Web Resource,YouTube
1acea9d7-8eb1-429b-999b-302c053dde68.json,Cyber Attack Most Likely Space Threat: Maj. Gen. Whiting,"""We know that cyber attack is where we are most likely to face the enemy in space,"" said Space Force deputy commander Maj. Gen. Stephen Whiting.
",['Cyber Education Hub->Defense And Security Concepts'],['csce525'],Web Resource,Web Page
1aa02faa-fbdb-99c5-b12c-b4fcf1969937.json,Erlang Programming Language - Computerphile,An overview by the folks at U of Nottingham about the Erlang language,"['Script Kiddies', 'Technology Stacks And Vulnerabilities', 'Acquisition Hub->Program Management->Technical->Project Test and Evaluation Management']",[],Web Resource,YouTube
1bcb61b7-fb9b-4336-ae19-b241ec31c7ee.json,Microsoft � Internet Explorer : Security Vulnerabilities, ,['Cyber Education Hub->Technology Stacks And Vulnerabilities'],"['ie', 'internet explorer']",Web Resource,Web Page
1a2acb5c-79a2-44c4-b7cb-600bc334867e.json,Cyber Risk Evaluation Framework based on Risk Environment of Military Operation,"Cyber attacking is one of the most concerningthreats in military operation nowadays. In Cyber warfareconcept, cyberspace is very logical comparing to the other 4battlefields including land, water, air, and space. It is almostimpossible to identify physical location of hosts inLatitude/Longitude, not even direction or distance from one toanother. Traditional boundaries disappear within cyberspace.Moreover, separated activities can be done from many locationsvia com puter network. In this information age, informationsuperiority is translated into combat power. Robust and securenetwork is significantly needed as a core media for informationoperation e.g. censoring and sharing. However, Cyber riskenvironment in the battlefield is not yet clarified. Vulnerabilitydetection, penetration testing, and risk evaluation are parts ofnetwork security. Therefore, this paper proposes a cyber-riskevaluation framework that integrates %22Network Risk Metric%22and %22Risk Environment%22 of military operation together in orderto get a better understanding of cyber risk in the battlefield. ","['Cyber Education Hub->Law And Doctrine->Law', 'Cyber Education Hub->Leadership Perspectives']","['cyber risk evaluation', 'cyber security', 'network centric waifare', 'network risk evaluation', 'risk evaluation']",File,PDF
1cb98f9e-f7ab-481c-930f-2e96aeeb0936.json,Webinar: The Basics of Incident Response,ncident Response is a critical part of any good cyber security program. In this webinar we discuss:- What Incident Response Is- Why Incident Response Matters- The 7 Steps of a Developed Incident Response Plan- Lessons Learned-...and more!,['Cyber Education Hub->Defense And Security Concepts'],[],Web Resource,YouTube
1ce24f54-5ff4-4f8e-9a45-3724d84dff4e.json,Protect Yourself From Cyber Attacks Backtrack 5 R3 Easy Creds,"Easy-creds is a bash script that leverages ettercap and other tools to obtain credentials. It allows you to easily attack with basic arp poison, oneway arp poison and DHCP spoofing or a Fake AP. Includes sslstrip log file parser",['Cyber Education Hub->Defense And Security Concepts->Tech Maintenance Tools And Techniques'],[],Web Resource,YouTube
1a83c064-8f9b-409b-aa45-faf32b8e0868.json,2.1: Introduction to Regular Expressions - Programming with Text,"his video is part of week 2 of the %22Programming from A to Z%22 course at ITP (http://itp.nyu.edu). In this video I introduce Regular Expressions.  What are they and how are they used?  I summarize the topics of future videos including meta-characters, capturing parentheses, character classes and JavaScript functions like split(), match(), test(), replace() and exec(). ",['Cyber Education Hub->Technology Stacks And Vulnerabilities'],[],Web Resource,YouTube
1c38899d-ff2e-4800-a509-b2a295e382e8.json,Evaluation Method,"Ethics
Starting Line
Evaluation Overview
Criteria Breakdown
Evaluation Methodology
Standardization
Process Visualization
Written Feedback/Justification
",['Acquisition Hub->Contracting'],[],File,PDF
1b22035c-701f-4975-a83d-86cd07003fbc.json,Cyber Hygiene,"Cyber hygiene should be implemented and practiced in the same way as physical hygiene. Everyone needs to practice cyber hygiene, not just an IT professional. Several real-life examples of USB attacks are demonstrated.",['Cyber Education Hub->Law And Doctrine->Law'],"['#rubberducky', 'cyber hygience']",File,Video
0e65a457-75db-4ffc-94c4-d5c830f7d66d.json,State-Sponsored Hacking Groups Increasingly Use Cloud & Open Source Infrastructure,There are plenty of people in leadership who still believe in attribution based off IPs. This is the final nail in the coffin for that idea- 'block that IP' is completely ineffective when the adversary has cloud infrastructure. SOCs need to rapidly adjust their TTPs for detection and response in this new environment. Open source tools+non-attributable infrastructure also make Intel's job extremely difficult. ,"['Cloud Computing', 'Law', 'Advanced Persistent Threats', 'Defense Activities']",[],Web Resource,Web Page
1d1d6a51-ad47-43fa-aa2d-4d531e87f11d.json,How Hacking Works: How to Pwn a Router,"During this livestream, security researcher Jacob Holcomb will show us a now-patched vulnerability in the ASUS RT-N56U router. He�s going to exploit a stack-based buffer overflow to get full remote access. An attacker with a root shell on a router could man-in-the-middle internet traffic to steal credentials or monitor that traffic to setup more attacks on other targets in that router's network.Holcomb and our security reporter Lorenzo Franceschi-Bicchierai will walk you through step-by-step to explain how these exploits were used to find a vulnerability in the router. We will show how to reverse engineer the router's web server and the development of the exploit to gain full remote access on the router. To be clear, this exploit was responsibly disclosed to ASUS and has been patched. The vulnerability no longer exists. If you own the router, you should make sure you�re using the latest firmware.Jacob Holcomb is a principal researcher at Baltimore�s Independent Security Evaluators (ISE), where he�s worked on SOHOpelessly Broken, which discovered over 50 new 0-day vulnerabilities in network routers and served as the foundation for the first-ever router hacking contest at DEFCON in IoT Village.",['Cyber Education Hub->Technology Stacks And Vulnerabilities'],[],Web Resource,YouTube
1beff022-b196-4755-8e2c-a43b6fb2739f.json,The Foundation of Cyber-Attacks: Credential Harvesting,"Recent reports of a newly detected Smoke Loader infection campaign and the re-emergence of Magecart-based cyber-attacks illustrate a common tactic used by cyber criminals and state-sponsored attackers alike ? credential harvesting. According to the Verizon 2017 Data Breach Investigation Report, 81% of hacking-related breaches leverage either stolen, default, or weak credentials. While credential harvesting is often seen as equivalent to phishing, it uses different tactics.",['Cyber Education Hub->Defense And Security Concepts->Tech Maintenance Tools And Techniques'],[],Web Resource,Web Page
01b60f88-8346-435b-a62a-88fef1379106.json,Early Programming: Crash Course Computer Science #10,"Since Joseph Marie Jacquard�s textile loom in 1801, there has been a demonstrated need to give our machines instructions. In the last few episodes, our instructions were already in our computer�s memory, but we need to talk about how they got there - this is the heart of programming. Today, we�re going to look at the history of programming and the innovations that brought us from punch cards and punch paper tape to plugboards and consoles of switches. These technologies will bring us to the mid 1970s and the start of home computing, but they had limitations, and what was really needed was an easier and more accessible way to write programs - programming languages. Which we�ll get to next week. ",['Cyber Education Hub->Technology Stacks And Vulnerabilities'],[],Web Resource,YouTube
0ee89e28-1340-438f-9948-fbcb91759f11.json,Interactive Wargaming CyberWar: 2025,"CyberWar 2025: The paper linked above describes a new game called CyberWar 2025 developed by David Long and Christopher Mulch at NPS. It is a cyber themed boar game designed for 2, 3, or 6 players. It allows players to develop a cyber strategy and engage other players through scanning the domain, attacking opponents, and defending their own territory while seeking to gain research and action points to use during future turns. The game is in its final stages of development, and according to communication directly with the creator, will be posted to NPS� site globalECCO.org very soon. This game can be played with other gloabalECCO users through a web browser. See comments for two other serious cyber games.Anyone with a DoD email address can request an account on the site to play 11+ serious games and CyberWar 2025 in the near future.",['Cyber Education Hub'],"['cyberstrike', 'cyberwar 2025', 'cyber ciege']",File,PDF
0f8e7329-be31-47bb-b621-588171df6e0d.json,Know what a PKI Certificate is and how it works | A Comodo Primer,The Comodo Primer provides all information about what a PKI Certificate is and how it works. Get to know the Basics of the Keys and Digital Certificates.,['Cyber Education Hub->Defense And Security Concepts->Tech Maintenance Tools And Techniques'],[],Web Resource,Web Page
01b9cffe-0aee-43d7-acf2-55e616e7697c.json,Cyber Hygiene for Aircraft and Equipment Maintenance Management,An introduction to the critical role cyber hygiene plays in actions that Aircraft and Equipment Maintenance Management personnel make every day. #AFRL #CROWS #CyTCoE,['Cyber Education Hub->Law And Doctrine->Law'],"['aircraft maintenance', 'aircraft management', 'equipment maintenance', 'equipment management', 'cyber', 'cyber hygiene']",File,Video
1b288c71-4972-4ac0-a0db-0d5750a1d3a5.json,Stopping organized cybercrime,The National Defense University's Linton Wells on trends in cyber security and the increasing threat from online organized crime.,['Cyber Education Hub->Actors And Agendas->Criminals'],[],Web Resource,YouTube
1c4fcd6b-353b-4e33-b692-8da2edfebc78.json,Cryptography For Beginners,"Cryptography is a complex and confusing subject. In this talk you will learn about the core components of cryptography used in software development: securing data with encryption, ensuring data integrity with hashes and digital signatures, and protecting passwords with key derivation functions. While learning how to use these components, you will also learn the best practices that drive strong cryptography. This talk won�t make you a cryptography expert but it will give you the knowledge necessary to use cryptography properly. No prior knowledge of cryptography is required for this presentation.",['Cyber Education Hub->Defense And Security Concepts'],[],Web Resource,YouTube
0d48795e-df87-4d31-97cb-d85dd0063b53.json,The Internet's Vulnerabilities Are Built Into Its Infrastructure,"Protection of the Global Information Grid now has evolved into global asymmetric warfare. Engaging in this combat is the principal mission of the U.S. Cyber Command because the infrastructure of the Internet is fundamentally insecure, and the U.S. Defense Department depends increasingly on this cyber highway to function.",['Cyber Education Hub->Technology Stacks And Vulnerabilities'],[],Web Resource,Web Page
1e1914c1-4ba5-41fb-a115-74ae7ccddd52.json,Multiple Vulnerabilities in Google Chrome Could Allow for Arbitrary Code Execution,"Multiple vulnerabilities have been discovered in Google Chrome, the most severe of which could result in arbitrary code execution. Google Chrome is a web browser used to access the Internet. These vulnerabilities can be exploited if a user visits, or is redirected to, a specially crafted web page. Successful exploitation of the most severe of these vulnerabilities could allow an attacker to execute arbitrary code in the context of the browser, obtain sensitive information, bypass security restrictions and perform unauthorized actions, or cause denial-of-service conditions.",['Technology Stacks And Vulnerabilities'],[],Web Resource,Web Page
1ec2eb15-5bfb-4d4d-b2cf-330fc8cfe403.json,CyberProtect Network Defense Game,Bet you can't get a score of 100!,"['Cyber Education Hub->Defense And Security Concepts', 'Cyber Education Hub->Technology Stacks And Vulnerabilities']",[],Web Resource,Web Page
0e30da63-3386-4c8a-9ceb-ddef80c4f3e8.json,Lizard Squad founder looking at two years in federal prison - Polygon,20-year-old hacker pleads guilty to harassment-for-hire schemes,"['Cyber Education Hub->Actors And Agendas->Hacktivists', 'Cyber Education Hub->Actors And Agendas->Criminals']","['ddos', 'dos', 'crime', 'hacktivists']",Web Resource,Web Page
1cbe447d-dd90-4c2e-8d09-7324c9f43964.json,5 Examples Of Sensitive Data Flowing Through Your Network (& How To Protect It),"Sensitive data includes anything your organization, your employees, and your customers would expect to be private�but identifying and protecting it is easier said than done.",['Cyber Education Hub->Policy And Strategy->Policy'],[],Web Resource,Web Page
1cad4b30-0522-492b-975e-0ddfaa252564.json,CAPEC-184 - Software Integrity Attack,"An adversary manipulates an application's interaction with a buffer in an attempt to read or modify data they shouldn't have access to. Buffer attacks are distinguished in that it is the buffer space itself that is the target of the attack rather than any code responsible for interpreting the content of the buffer. In virtually all buffer attacks the content that is placed in the buffer is immaterial. Instead, most buffer attacks involve retrieving or providing more input than can be stored in the allocated buffer, resulting in the reading or overwriting of other unintended program memory.","['Technology Stacks And Vulnerabilities', 'DevSecOps', 'Defense And Security Concepts']",[],File,PPT
1f3b1c47-8d3d-c1e7-16ad-84ba37744615.json,KRADOS Trailer,"The movie trailer-like promo video for KRADOS, the Kessel Run All-Domain Operation Suite.",['DevSecOps Hub->USAF Organizations->Kessel Run'],[],File,Video
1f396b14-0cbe-4000-93fa-3d276ef1c53c.json,User Guide: Cyber Education Hub,"Information on Accessing and Using the Cyber Education Hub. Details on navigation, viewing content, contributing content, using the Topic Map, using KSA Trees, submitting feedback, editing your profile, and more!",['Cyber Education Hub'],"['ceh', 'guide', 'help', 'hub', 'navigation', 'tutorial', 'easy', 'how', 'instructions', 'manual', 'show', 'step', 'to']",File,PDF
1db7f4a6-8ba3-4162-a93c-4573355a91c8.json,CAC-less network access for mobile devices hitting DoD this summer,"The Defense Department is still on track to begin phasing in over-the-air mobile derived credentials this summer; however, the department and other agencies are looking further into the future for more creative ways of verifying the identity of their employees as they access government networks.DoD�s mobility and public key identification program offices have been creating training materials, workflow processes and other preliminaries in place for iPhone, Android and Windows devices this summer.",['Cyber Education Hub->Defense And Security Concepts->Tech Maintenance Tools And Techniques'],[],Web Resource,Web Page
1d5318f5-9506-4ace-9f82-0aea5e098bf1.json,The Security Awareness Hazards Of Removable Media,The Security Awareness Hazards Of Removable Media,['Cyber Education Hub->Technology Stacks And Vulnerabilities'],[],Web Resource,Web Page
2ac45860-a404-42c7-ae80-84f0fe02374b.json,"Aircraft computers reset, why?","Aircraft computers reset are in need to clear faults recorded by these computers due to the fault latching mechanism the manufacturer are put as a major player in the aircraft redundancy game, so if an input computer give a wrong input to the user or inconsistent data or no data at all, the user one need to latch it faulty in order not to  interrupt the operation, so if we take an action and solve the problem regardibg the input, the user need also to be reset, reset is a major player in the redundancy game.",['Cyber Education Hub'],[],Web Resource,YouTube
