title,description,cyber,innovation,acquisition,cybersecurity,toc,intelligence,theory of constraints,tesseract,intelligence analysis,python data science,training,mbse,digital engineering,digital,afit,cyber security
Applying Agile Development to MBSE Analysis in AFLCMC/EZF,"['aflcmc ezf', 'need', 'develop', 'integrating', 'software', 'meet', 'digital', 'engineering', 'need', 'program', 'office', 'video', 'proposes', 'joint', 'eza', 'ezf', 'team', 'develop', 'integration', 'software', 'use', 'ezf', 'mbse', 'effort', 'utilizing', 'agile', 'development', 'method']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fighter Bomber in Acquisition Module 3 Technology Maturation & Risk Reduction,"['module', 'focus', 'important', 'cyber', 'activity', 'technology', 'maturation', 'risk', 'reduction', 'phase']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Senior Leader Perspective - The Importance of Designating Cyberspace Weapon Systems,"['joint', 'publication', '1 02', 'department', 'defense', 'dictionary', 'militaryand', 'associated', 'term', 'defines', 'weapon', 'system', 'combination', 'ofone', 'weapon', 'related', 'equipment', 'material', 'service', 'personnel', 'mean', 'delivery', 'deployment', 'applicable', 'required', 'self sufficiency 1', 'one', 'think', 'u', 'air', 'force', 'andweapon', 'system', 'b 2', 'spirit', 'stealth', 'bomber', 'f 15e', 'strike', 'eaglefighter', 'jet', 'f 16', 'fighting', 'falcon', 'aircraft', 'quickly', 'come', 'mind', 'eventhe', 'minuteman', 'iii', 'missile', 'global', 'positioning', 'system', 'kc 135stratotanker', 'air', 'refueling', 'aircraft', 'could', 'become', 'part', 'discussionbecause', 'air', 'force s', 'mission', 'fly', 'fight', 'win', 'air', 'space', 'cyberspace', 'asset', 'fall', 'air', 'andspace', 'umbrella', 'served', 'tried', 'true', 'weapon', 'system', 'formany', 'year', 'air', 'force', 'added', 'long', 'line', 'september october', '2013', 'air', 'space', 'power', 'journal', '30space', 'focus', 'senior', 'leader', 'perspectiveweapon', 'system', 'support', 'cyberspace', 'operation', 'employmentof', 'cyberspace', 'capability', 'primary', 'purpose', 'achieve', 'objectivesin', 'cyberspace', 'system', 'unique', 'thatthey', 'tied', 'newest', 'domain', 'cyber a', 'global', 'domain', 'withinthe', 'information', 'environment', 'consisting', 'interdependent', 'networkof', 'information', 'technology', 'infrastructure', 'resident', 'data', 'includingthe', 'internet', 'telecommunication', 'network', 'computer', 'system', 'embedded', 'processor', 'controllers air', 'space', 'power', 'journal', 'vol', '27', '5']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFIT SYS 182 (Introduction To Systems Engineering) Sign-up,"['read', 'full', 'description', 'additional', 'instruction', 'register', 'new', 'afit', 'student', 'information', 'system', 'si', 'self paced', 'web based', 'course', 'introduces', 'student', 'importance', 'applying', 'se', 'acquisition', 'sustainment', 'program', 'provides', 'overview', 'se', 'concept', 'process', 'element', 'describes', 'interaction', 'se', 'functional', 'area', 'afit', 'transitioned', 'new', 'student', 'information', 'system', 'si', 'transition', 'resulted', 'new', 'process', 'registering', 'booking', 'afit', 'course', 'clicking', 'link', 'direct', 'course', 'description', 'page', 'scroll', 'right', 'read', 'attachment', 'apply', 'course', 'book', 'course', 'proceeding', 'page', 'apply', 'button', 'click', 'button', 'redirected', 'new', 'afit', 'si', 'go', 'step', 'enroll', 'required', 'course', 'question', 'arise', 'specific', 'crow', 'aware', 'learning', 'path', 'please', 'direct', 'jason', 'donovan', 'aflcmc crows edu', 'us af mil', 'jason donovan 4', 'us af mil', 'issue', 'question', 'related', 'afit', 'si', 'must', 'direct', 'inquiry', 'afit', 'help', 'desk', 'customer', 'service', 'since', 'afit', 'owned', 'maintained', 'product']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Engineering Security Analysis,"['teaching', 'video', 'describes', 'cybersecurity', 'cyber', 'survivability', 'context', 'digital', 'engineering']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ENG 260 Program Protection for Practitioners,"['course', 'provide', 'program', 'protection', 'pp', 'system', 'security', 'engineering', 'sse', 'training', 'emphasis', 'exercise', 'online', 'exercise', 'help', 'focus', 'student', 'acquisition', 'program', 'scenario', 'accomplish', 'pp', 'planning', 'sse', 'action', 'support', 'critical', 'program', 'information', 'cpi', 'trusted', 'system', 'network', 'tsn', 'analysis', 'student', 'identify', 'prevent', 'respond', 'pp', 'sse', 'challenge', 'acquisition', 'process', 'course', 'work', 'student', 'learn', 'identify', 'cpi', 'mission', 'critical', 'function', 'mission', 'critical', 'component', 'encounter', 'system', 'threat', 'vulnerability', 'risk', 'test', 'evaluation', 'student', 'also', 'gain', 'focus', 'system', 'engineering', 'technical', 'review', 'setrs', 'used', 'ass', 'cpi', 'tsn', 'countermeasure', 'security', 'risk', 'topic', 'security', 'specialty', 'cybersecurity', 'hardware', 'assurance', 'software', 'assurance', 'anti tamper', 'others', 'presented']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Cyber Warfare Professional: Realizations for Developing the Next Generation,"['1924', 'u', 'army', 'leader', 'faced', 'difficult', 'decision', 'determining', 'distributetheir', 'budget', 'within', 'increasingly', 'fiscally', 'constrained', 'environment', 'giving', 'priorityto', 'single', 'mission', 'area', 'could', 'mean', 'disaster', 'others', 'one', 'particular', 'programthat', 'attracted', 'much', 'interest the', 'lassiter', 'plan', 'designed', 'expand', 'air', 'service', 'atan', 'estimated', 'cost', '90', 'million', 'per', 'year would', 'consume', 'one third', 'army sbudget 1', 'today', 'u', 'air', 'force', 'well', 'department', 'defense', 'dod', 'matter', 'face', 'similar', 'challenge', 'shadow', 'poor', 'economic', 'climate', 'effort', 'toreconstitute', 'traditional', 'capability', 'dod', 'undergoing', 'sweepingcuts', 'funding', 'manpower', 'many', 'program', 'face', 'deep', 'curtailmentor', 'case', 'extinction', 'case', '1920s', 'giving', 'priority', 'one', 'mission', 'area', 'could', 'dire', 'consequencesfor', 'others', 'however', 'airpower', 'soonemerged', 'revolution', 'military', 'affair', 'earlytwentieth', 'century', 'may', 'cyber', 'warfare', 'become', 'nextrevolution', 'new', 'millennium']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fighter Bomber in Acquisition Module 7 Other Information and Close,"['module', 'provides', 'supplemental', 'information', 'practitioner', 'aware', 'integrating', 'cybersecurity', 'resiliency', 'system', 'acquisition']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cybrary - Online Cyber Security Training, Free, Forever","['completely', 'free', 'forever', 'online', 'cyber', 'security', 'training', 'learn', 'contribute', 'join', 'free', 'open', 'source', 'cyber', 'security', 'training', 'community', 'online']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Iranian hackers likely planning social engineering, phishing attacks","['city', 'government', 'agency', 'company', 'high', 'alert', 'ramped up', 'cyber', 'activity', 'possibly', 'emanating', 'iran', 'attack', 'handful', 'website', 'across', 'globe', 'purportedly', 'name', 'iranian', 'activist', 'group', 'n t', 'much', 'concern', 'ca', 'n t', 'truly', 'attributed', 'iran', 'short', 'term']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dynamic Cyber Mission Mapping,"['dod', 'highly', 'dependent', 'cyber', 'system', 'network', 'infrastructure', 'execute', 'mission', 'achieve', 'nationaldefense', 'objective', 'pursuing', 'concept', 'cyber', 'mission', 'assurance', 'risk', 'management', 'activity', 'focused', 'onassuring', 'organization s', 'mission', 'capability', 'contested', 'cyber', 'environment', 'however', 'exists', 'disconnectbetween', 'cyber', 'service', 'provider', 'operator', 'rely', 'service', 'order', 'operational', 'communityto', 'better', 'synchronize', 'community', 'must', 'way', 'map', 'mission s', 'cyber', 'dependency', 'anddeconflict', 'system', 'cyber', 'defense', 'system', 'maintenance', 'activity', 'analyze', 'aforementionedproblem', 'propose', 'software', 'solution', 'proactively', 'support', 'mission', 'assurance', 'mapping', 'mission', 'itscyber', 'asset', 'identifying', 'system', 'dependency', 'resource', 'critical', 'infrastructure', 'deconflicting', 'missionswith', 'system', 'maintenance', 'schedule', 'goal', 'enhance', 'collaboration', 'provide', 'deconfliction', 'risk', 'analysismechanism', 'mission', 'owner', 'service', 'provider', 'created', 'model', 'analyze', 'system', 'maintenanceactivities', 'impact', 'given', 'mission', 'present', 'architectural', 'design', 'evaluation', 'proposed', 'solution', 'thesemodels', 'applied', 'cyber', 'defense', 'disaster', 'preparedness', 'activity']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Perfect Weapon: How Russian Cyberpower Invaded the U.S. - The New York Times,"['time', 'investigation', 'reveals', 'missed', 'signal', 'slow', 'response', 'continuing', 'underestimation', 'seriousness', 'campaign', 'disrupt', '2016', 'presidential', 'election']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Challenges to Implementing Cybersecurity in Program Information Technology,"['overview', 'present', 'implementation', 'dod', 'air', 'force', 'guidance', 'challenge', 'program', 'contrasting', 'program', 'v', 'enterprise', 'future', 'development']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF-PLM FAQ,"['frequently', 'asked', 'question', 'air', 'force', 'product', 'lifecycle', 'management', 'plm', 'form', 'product', 'information', 'backbone', 'company', 'extended', 'enterprise']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NATO cyber command to be fully operational in 2023 | Reuters,"['new', 'nato', 'military', 'command', 'center', 'deter', 'computer', 'hacker', 'fully', 'staffed', '2023', 'able', 'mount', 'cyber', 'attack', 'alliance', 'still', 'grappling', 'ground', 'rule', 'senior', 'general', 'said', 'tuesday']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fighter Bomber In Acquisition Module 1 Introduction,"['focus', 'integrate', 'cybersecurity', 'acquisition', 'process']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Social Engineering Attacks: Common Techniques & How to Prevent an Attack,"['34', 'infosec', 'expert', 'discus', 'prevent', 'common', 'social', 'engineering', 'attack']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Effect of Hyper-Spectral Bands on Convolution Neural Network Accuracy,"['video', 'discus', 'use', 'convolution', 'neural', 'network', 'improve', 'color', 'identification', 'accuracy', 'space', 'based', 'intelligence', 'collection', 'platform']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
How Data Moves Through Embedded Weapon Systems and How to Secure Them,"['video', 'describes', 'information', 'move', 'embedded', 'system', 'specifically', 'aircraft', 'illustrates', 'cyber', 'terrain', 'differs', 'traditional', 'ip', 'network', 'many', 'way', 'digital', 'information', 'move', 'embedded', 'information', 'system', '1', 'wireless', 'rf', 'link', '2', 'physical', 'access', 'spare', 'part', '3', 'connected', 'computer', 'diagnostics', 'mission', 'information', 'uploads', '4', 'weapon', 'pod']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia successfully disconnected its homegrown RuNet from the Internet - TechSpot,"['news', 'broke', 'february', 'russia', 'planning', 'disconnect', 'internet', 'see', 'would', 'happen', 'case', 'foreign', 'aggression', 'end', 'russian', 'government', 'pas', 'law', 'requiring', 'internet', 'service', 'provider', 'make', 'possible', 'inspect', 'outbound', 'traffic', 'maintain', 'isolated', 'intranet', 'dubbed', 'runet', 'necessary']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Introduction of Cyber Resiliency for Acquisition Round 1,"['training', 'resiliency', 'effort', 'crow', 'acquisition', 'lifecycle', 'introductory', 'module', 'explains', 'basic', 'cyber', 'concept']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSCE 525 - Autonomous Vehicle Cybersecurity,"['csce', '525', 'teaching', 'video', 'presentation', 'outline', 'current', 'status', 'autonomous', 'vehicle', '2020', 'projected', 'future', 'delf', 'cybersecurity', 'risk', 'associated']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Ethics,"['cyber', 'ethic', 'concern', 'code', 'responsible', 'behavior', 'internet']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USENIX Enigma 2016 - NSA TAO Chief on Disrupting Nation State Hackers,"['rob', 'joyce', 'chief', 'tailored', 'access', 'operation', 'national', 'security', 'agencyfrom', 'role', 'chief', 'nsa', 'tailored', 'access', 'operation', 'home', 'hacker', 'nsa', 'mr', 'joyce', 'talk', 'security', 'practice', 'capability', 'effectively', 'frustrate', 'people', 'seeking', 'exploit', 'network']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Live Cyber Attack Threat Map | Check Point Software,"['check', 'point', 'live', 'cyber', 'attack', 'threat', 'map', 'provides', 'real time', 'tracking', 'cyber', 'attack', 'launched', 'around', 'world']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE 074 Cybersecurity Throughout DoD Acquisition,"['course', 'provides', 'foundational', 'understanding', 'basic', 'principle', 'cybersecurity', 'cybersecurity', 'risk', 'management', 'defense', 'acquisition', 'field']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyberlaw and Policy,"['cyber', 'capability', 'opened', 'entirely', 'new', 'area', 'warfare', 'whether', 'law', 'war', 'applies', 'particular', 'cyber', 'activity', 'may', 'depend', 'variety', 'factor']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Job Shop Production Simulation (Part 2 of 4),"['unique', 'insight', 'production', 'scheduling', 'easy', 'waste', 'available', 'capacity', 'work in process', 'managed', 'correctly']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cyber Resiliency for Aircraft and Other Weapon Systems,"['much', 'effort', 'gone', 'protecting', 'network', 'must', 'ensure', 'aircraft', 'weapon', 'system', 'protected', 'growing', 'cyber', 'threat', 'air', 'force', 'materiel', 'command', 'working', 'deliver', 'support', 'agile', 'war winning', 'capability']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BANSHEE Innovation Training Program,"['bansee', 'information', 'training', 'application', 'banshee', 'innovation', 'training', 'program', 'held', '3', 'day', 'person', 'masschallenge', 'hq', 'boston', 'seaport', 'banshee', 'participate', 'traditional', 'banshee', 'training', 'tackle', 'real', 'world', 'peo', 'challenge', 'following', 'training', 'banshee', 'ability', 'help', 'select', 'start ups', 'centered', 'around', 'challenge', 'statement', 'student', 'participate', 'af', 'lab', 'program', 'af', 'lab', '6 week', 'online', 'program', 'virtual', 'participation', 'expected', 'however', 'participation', 'estimated', '2 3', 'hour', 'every', 'two', 'week', 'af', 'lab', 'program', 'culminates', 'optional', 'solution', 'showcase', 'senior', 'leadership', 'back', 'boston', 'late', 'summer', 'merging', 'banshee', 'af', 'lab', 'banshee', 'able', 'practice', 'learned', 'interact', 'non traditional', 'small', 'business', 'assist', 'business', 'meeting', 'peo', 'top', 'technology', 'challenge', 'peo', 'innovation', 'team', 'identifying', 'challenge', 'statement', 'banshee', 'ability', 'submit', 'challenge', 'statement', 'part', 'application', 'must', 'complete', 'banshee', 'registration', 'form', 'click', 'download', 'link', 'picture', 'email', 'jmccoy', 'mitre org', 'aflcmc crows edu', 'us af mil', 'use', 'banshee', 'registration', 'email', 'subject', 'line', 'email', 'body', 'request', 'course', 'name', 'provide', 'name', 'rank grade', 'organization', 'joining', 'contact', 'information', 'contacted', 'information', 'course', 'registration', 'within', '72', 'hour', 'contacted', 'within', '72', 'hour', 'contact', 'jennifer landis 2 ctr', 'us af mil', 'jmccoy', 'mitre org', 'and or', 'jason donovan 4', 'us af mil', 'follow up', 'information', 'individual', 'moving', 'along', 'aware', 'learning', 'path', 'continue', 'course', 'path', 'waiting', 'attending', 'banshee']",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
How Cybercriminals Change Tactics During Their Cyber Attacks,"['cyber', 'criminal', 'use', 'advanced', 'sophisticated', 'attack', 'vector', 'cyber', 'attack', 'need', 'know']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF Digital Enterprise Guidebook,"['air', 'force', 'need', 'establish', 'new', 'paradigm', 'paradigm', 'encourages', 'concurrent', 'collaboration', 'among', 'stakeholder', 'one', 'innovation', 'fielding', 'solution', 'pace', 'maintains', 'military', 'superiority', 'digital', 'enterprise', 'move', 'acquisition', 'model based', 'approach', 'integrates', 'function', 'concurrent', 'collaborative', 'digital', 'environment', 'guidebook', 'seek', 'provide', 'reader', 'information', 'program', 'project', 'achieve', 'five', 'af', 'digital', 'enterprise', 'goal']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
How Iran's Hackers Might Strike Back After Soleimani's Assassination | WIRED,"['data destroying', 'wiper', 'industrial', 'control', 'system', 'hacking', 'iran', 'potent', 'arsenal', 'cyberattacks', 'disposal']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Introduction of Cyber Resiliency For Acquisition Round 2,"['training', 'resiliency', 'effort', 'crow', 'acquisition', 'lifecycle', 'second', 'module', 'explains', 'cyber', 'relates', 'weapon', 'system']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Security by Design Principles - OWASP,"['architect', 'solution', 'provider', 'need', 'guidance', 'produce', 'secure', 'application', 'design', 'implementing', 'basic', 'control', 'documented', 'main', 'text', 'also', 'referring', 'back', 'underlying', 'principle', 'security', 'principle', 'confidentiality', 'integrity', 'availability', 'although', 'important', 'broad', 'vague', 'change', 'application', 'robust', 'apply', 'them for', 'example', 'fine', 'thing', 'implementing', 'data', 'validation', 'include', 'centralized', 'validation', 'routine', 'form', 'input', 'however', 'far', 'finer', 'thing', 'see', 'validation', 'tier', 'user', 'input', 'coupled', 'appropriate', 'error', 'handling', 'robust', 'access', 'control in', 'last', 'year', 'significant', 'push', 'standardize', 'terminology', 'taxonomy', 'version', 'development', 'guide', 'normalized', 'principle', 'major', 'industry', 'text', 'dropping', 'principle', 'two', 'present', 'first', 'edition', 'development', 'guide', 'prevent', 'confusion', 'increase', 'compliance', 'core', 'set', 'principle', 'principle', 'removed', 'adequately', 'covered', 'control', 'within', 'text']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Engineering: Trade Space Analysis,"['discussion', 'digital', 'engineering', 'difficulty', 'limitation', 'current', 'method', 'trade', 'space', 'analysis', 'advantage', 'offered', 'mbse', 'trade', 'space', 'anaysis', 'process', 'future', 'look', 'generative', 'design', 'intuitive', 'design']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FPM 101 - Fundamentals of PM,"['web based', 'course', 'provides', 'student', 'basic', 'understanding', 'project', 'management', 'framework', 'best', 'practice', 'instance', 'method', 'application', 'key', 'knowledge', 'area', 'project', 'management']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Live Cyber Attack Threat Map | Check Point Software,"['check', 'point', 'live', 'cyber', 'attack', 'threat', 'map', 'provides', 'real time', 'tracking', 'cyber', 'attack', 'launched', 'around', 'world']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International Quantum U Tech Accelerator - Day 3,"['welcome', 'million', 'dollar', 'international', 'quantum', 'tech', 'accelerator', 'hearing', 'impaired', 'please', 'contact', 'u', 'info', 'innovare org', 'give', 'appropriate', 'accommodation', 'contact', 'u', 'innovare org', 'detail', 'head', 'event', 'site', 'http', 'milliondollarquantumutech eve', 'explore', 'poster', 'gallery', 'http', '1m quantum you tech accelerator', 'today', 'agenda', 'day', '3', 'september', '3', '9 00am', '9 05am', 'welcoming', 'remark', 'colonel', 'timothy', 'lawrence', 'director', 'air', 'force', 'research', 'laboratory', 'information', 'directorate', '9 05am', '9 20am', 'quantum', 'important', 'mr', 'james', 'f', 'geurts', 'assistant', 'secretary', 'navy', 'research', 'development', 'acquisition', 'dr', 'tommy', 'willis', 'program', 'officer', 'office', 'naval', 'research', '9 20am', '9 30am', '2019', 'quantum', 'information', 'science', 'winner', 'presentation', 'australia', 'dr', 'thomas', 'stace', 'physic', 'professor', 'university', 'queensland', 'australia', '9 30am', '9 40am', 'innovare', 'advancement', 'center', 'accelerating', 'talent', 'technology', 'dr', 'michael', 'hayduk', 'deputy', 'director', 'air', 'force', 'research', 'laboratory', 'information', 'directorate', '9 40am', '9 50am', 'innovare', 'advancement', 'center', 'candid', 'discussion', 'air', 'force', 'research', 'laboratory', 'information', 'directorate', 'dr', 'michael', 'hayduk', 'deputy', 'director', 'air', 'force', 'research', 'laboratory', 'information', 'directorate', 'm', 'deliarae', 'jesaitis', 'strategic', 'communication', 'air', 'force', 'research', 'laboratory', 'information', 'directorate', '9 50am', '9 55am', 'future', 'quantum', 'spotlight', 'video', '9 55am', '10 00am', 'introduction', 'keynote', 'mr', 'bill', 'hartnett', 'managing', 'director', 'citigroup', '10 00am', '11 00am', 'quantum', 'fundamental', 'everyone', 'keynote', 'q', 'dr', 'neil', 'degrasse', 'tyson', 'american', 'astrophysicist', 'cosmologist', 'planetary', 'scientist', 'author', 'science', 'communicator', 'dr', 'roper', 'you s', 'air', 'force', 'you s', 'space', 'force', 'acquisition', 'executive', '11 00am', '11 30am', 'announcement', 'award', 'colonel', 'timothy', 'lawrence', 'director', 'air', 'force', 'research', 'laboratory', 'information', 'directorate', 'rear', 'admiral', 'lorin', 'selby', 'chief', 'naval', 'research', 'office', 'naval', 'research', 'dr', 'shery', 'welsh', 'director', 'air', 'force', 'office', 'scientific', 'research', '11 30am', '11 45am', 'thank', 'future', 'event', 'closing', 'dr', 'michael', 'hayduk', 'deputy', 'director', 'air', 'force', 'research', 'laboratory', 'information', 'directorate']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Attack Map,"['digital', 'attack', 'map', 'ddos', 'attack', 'around', 'globe']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USAF Digital Engineering Strategy to Implementation,"['describes', 'digital', 'enterprise', 'framework', 'current', 'effort']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Companies go phishing to test staff cybersecurity savvy | CBC News,"['high profile', 'hack', 'company', 'defensive', 'growing', 'number', 'business', 'including', 'twitter', 'inc', 'giving', 'worker', 'pop', 'quiz', 'testing', 'security', 'savvy', 'sending', 'spoof', 'phishing', 'email', 'see', 'bite']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Job Shop Production Simulation (Part 1 of 4),"['unique', 'insight', 'production', 'scheduling', 'easy', 'waste', 'available', 'capacity', 'work in process', 'managed', 'correctly']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
The Top Global Hacking Threats for 2017,"['dec 21', 'darktrace', 'ceo', 'nicole', 'eagan', 'discus', 'cybersecurity', 'risk', '2017', 'speaks', 'caroline', 'hyde', '22bloomberg', 'technology', '22']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
